listener_thread started[16164]
Start spider workers...
[2020-04-05 15:12:59,333]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-4?source=refinement&numBaths=1&]
[2020-04-05 15:13:03,266]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-4?source=refinement&numBaths=1&]...
[2020-04-05 15:13:04,426]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-5?source=refinement&numBaths=1&]
[2020-04-05 15:13:10,732]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-5?source=refinement&numBaths=1&]...
[2020-04-05 15:13:10,896]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-6?source=refinement&numBaths=1&]
[2020-04-05 15:13:15,477]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-6?source=refinement&numBaths=1&]...
[2020-04-05 15:13:15,610]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-7?source=refinement&numBaths=1&]
[2020-04-05 15:13:20,596]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-7?source=refinement&numBaths=1&]...
[2020-04-05 15:13:20,737]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-8?source=refinement&numBaths=1&]
[2020-04-05 15:13:24,723]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-8?source=refinement&numBaths=1&]...
[2020-04-05 15:13:24,848]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-9?source=refinement&numBaths=1&]
[2020-04-05 15:13:27,091]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-9?source=refinement&numBaths=1&]...
[2020-04-05 15:13:27,178]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-10?source=refinement&numBaths=1&]
[2020-04-05 15:13:28,474]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-10?source=refinement&numBaths=1&]...
[2020-04-05 15:13:28,518]-[Process-1-MainThread-(INFO)Realestate.py:79]:Starting to crawl the region[Ringwood East, VIC 3135]
[2020-04-05 15:13:28,519]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-1?source=refinement&numBaths=1&]
[2020-04-05 15:13:30,780]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-1?source=refinement&numBaths=1&]...
[2020-04-05 15:13:31,914]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-2?source=refinement&numBaths=1&]
[2020-04-05 15:13:35,748]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-2?source=refinement&numBaths=1&]...
[2020-04-05 15:13:36,910]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-3?source=refinement&numBaths=1&]
[2020-04-05 15:13:41,363]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-3?source=refinement&numBaths=1&]...
[2020-04-05 15:13:41,497]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-4?source=refinement&numBaths=1&]
[2020-04-05 15:13:46,217]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-4?source=refinement&numBaths=1&]...
[2020-04-05 15:13:46,355]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-5?source=refinement&numBaths=1&]
[2020-04-05 15:13:51,323]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-5?source=refinement&numBaths=1&]...
[2020-04-05 15:13:51,471]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-6?source=refinement&numBaths=1&]
[2020-04-05 15:13:54,333]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-6?source=refinement&numBaths=1&]...
[2020-04-05 15:13:54,466]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-7?source=refinement&numBaths=1&]
[2020-04-05 15:13:58,390]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-7?source=refinement&numBaths=1&]...
[2020-04-05 15:13:59,511]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-8?source=refinement&numBaths=1&]
[2020-04-05 15:14:01,988]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-8?source=refinement&numBaths=1&]...
[2020-04-05 15:14:02,105]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-9?source=refinement&numBaths=1&]
[2020-04-05 15:14:03,801]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood East, VIC 3135/list-9?source=refinement&numBaths=1&]...
[2020-04-05 15:14:03,850]-[Process-1-MainThread-(INFO)Realestate.py:79]:Starting to crawl the region[Ringwood North, VIC 3134]
[2020-04-05 15:14:03,850]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood North, VIC 3134/list-1?source=refinement&numBaths=1&]
[2020-04-05 15:14:07,699]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood North, VIC 3134/list-1?source=refinement&numBaths=1&]...
[2020-04-05 15:14:08,815]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood North, VIC 3134/list-2?source=refinement&numBaths=1&]
[2020-04-05 15:14:12,009]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood North, VIC 3134/list-2?source=refinement&numBaths=1&]...
[2020-04-05 15:14:12,281]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood North, VIC 3134/list-3?source=refinement&numBaths=1&]
[2020-04-05 15:14:16,184]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood North, VIC 3134/list-3?source=refinement&numBaths=1&]...
[2020-04-05 15:14:16,332]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood North, VIC 3134/list-4?source=refinement&numBaths=1&]
